"","X","Y","id","longitude","latitude","start_date","end_date","label","linkcolumn","class_name","scene_id","areameters","view_date","julday"
"1",-54.0345001,-4.9787598,1,-54.0345001,-4.9787598,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"2",-53.2510986,-5.8346701,3,-53.2510986,-5.8346701,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"3",-53.9117012,-4.98703,4,-53.9117012,-4.98703,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"4",-52.8839989,-5.19911,5,-52.8839989,-5.19911,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"5",-53.7444,-4.9991899,6,-53.7444,-4.9991899,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"6",-53.1296005,-5.1686301,7,-53.1296005,-5.1686301,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"7",-54.0503006,-5.1358399,8,-54.0503006,-5.1358399,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"8",-52.9556007,-5.18154,9,-52.9556007,-5.18154,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"9",-53.6281013,-5.1325598,10,-53.6281013,-5.1325598,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"10",-54.301899,-6.33252,11,-54.301899,-6.33252,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"11",-53.6241989,-5.3754301,12,-53.6241989,-5.3754301,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"12",-52.6731987,-5.35885,13,-52.6731987,-5.35885,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"13",-54.1030998,-5.6302199,14,-54.1030998,-5.6302199,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"14",-53.6459007,-5.5004201,15,-53.6459007,-5.5004201,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"15",-52.8745995,-5.6215301,16,-52.8745995,-5.6215301,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"16",-53.3750992,-5.3749199,17,-53.3750992,-5.3749199,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"17",-52.7233009,-5.6559901,18,-52.7233009,-5.6559901,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"18",-54.0775986,-5.381,19,-54.0775986,-5.381,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"19",-52.9177017,-5.4010401,20,-52.9177017,-5.4010401,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"20",-52.8781013,-5.2781901,21,-52.8781013,-5.2781901,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"21",-53.1259995,-5.6248598,22,-53.1259995,-5.6248598,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"22",-53.3700981,-5.87535,23,-53.3700981,-5.87535,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"23",-53.7389984,-5.7603402,24,-53.7389984,-5.7603402,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"24",-53.8723984,-6.3636899,29,-53.8723984,-6.3636899,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"25",-53.5098,-6.0294499,30,-53.5098,-6.0294499,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"26",-53.5489006,-6.0051098,31,-53.5489006,-6.0051098,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"27",-53.5098991,-6.00034,32,-53.5098991,-6.00034,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"28",-52.7280998,-5.8465099,34,-52.7280998,-5.8465099,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"29",-53.1118011,-5.85463,35,-53.1118011,-5.85463,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"30",-53.8739014,-5.62394,36,-53.8739014,-5.62394,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"31",-52.9679985,-5.7711201,38,-52.9679985,-5.7711201,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"32",-53.8919983,-5.1111798,41,-53.8919983,-5.1111798,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"33",-52.9229012,-6.0447402,44,-52.9229012,-6.0447402,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"34",-53.0915985,-6.00001,46,-53.0915985,-6.00001,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"35",-53.8606987,-5.17665,49,-53.8606987,-5.17665,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"36",-53.8143997,-6.2502298,51,-53.8143997,-6.2502298,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"37",-52.6645012,-5.20153,54,-52.6645012,-5.20153,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
